"En,sinhala"
"secondaries,උප "
"secondary,අතුරු "
"seconder,ස්ථිරකරු"
"secondly,දෙවෙනි කොට"
"secondment,පදවියකට අනුයුක්ත කිරීම"
"seconds,තත්පර "
"secrecy,රහස් බව "
"secret,අප්‍රකට "
"secretarial,ලේඛක කටයුතු පිළිබඳ"
"secretariat,මහලේකම් කාර්යාලය "
"secretary-general,මහලේකම්"
"secretary,ලේකම් "
"secretaryship,ලේකම් පදවිය"
"secrete,වාස්සනවා "
"secretion,සැඟැවුම "
"secretive,ගුප්ත "
"secretory,බහිස්‍රාවී "
"sect,නිකාය "
"sectarian,පටුමතවාදී "
"sectarianism,නිකායවාදය "
"sectary,නිකායකට අයත් තැනැත්තා "
"section,අංශය "
"sectional,අංශික "
"sectioning,ඡේදනය කිරීම"
"sector,අංශය "
"secular,අගාරික "
"secularisation,ඓහීකරණය"
"secularism,ඓහිකවාදය "
"secularization,ඓහීකරණය"
"secularize,ආගම ධර්මයෙන් තොර කරනවා "
"seculars,ආගමික නොවූ "
"secure,විශ්වාසදායක "
"securities,සුරැකුම් "
"security,ආරක්ෂණය "
"sedan,දෝලාව "
"sedateness,ශාන්තභාවය"
"sedation,නින්ද (බෙහෙතින් ඇති කළ නින්ද)"
"sedative,වේදනානාශකය "
"sedentary,ව්‍යායාම නැති "
"sedge,පන් වර්ගයක් "
"sediment,අවසාදිතය "
"sedimentation,අවසාදනය "
"sedition,කැරලි ගැසීමට පොළඹන කතාව හෝ ක්‍රියාව "
"seditious,කැරලි ඇති කරවන"
"seditiousness,කැරලිකාර බව"
"seduce,දූෂණය කරනවා "
"seducer,දූෂකයා"
"seduction,දූෂණය "
"seductive,මුළා කරවන "
"sedulity,උද්‍යෝගිකම"
"sedulous,ධෛර්ය සම්පන්න "
"sedum,ශාකයක්"
"see,දකිනවා "
"seed-bed,පැල තවාන "
"seed-leaf,පැළේ මුල් කොළය"
"seed-time,වපුරන කාලය"
"seedbed,පාත්තිය "
"seeding,බීජායනය"
"seedling,කුඩා පැළය "
"seeds,ඇට"
"seedy,කබල් "
"seeing,එය සැලකුවම "
"seek,සොයනවා "
"seeker,සොයන්නා "
"seem,පෙනී යනවා "
"seeming,පෙනීමට ඇති "
"seemingly,පෙනෙන ලෙසට නම්"
"seemly,විනීත "
"seen,දක්නා ලද "
"seep,උනනවා "
"seepage,කාන්දු වීම "
"seer,අනාගත වක්තෘ "
"seersucker,කපු හෝ ලිනන් රෙදි වර්ගයක්"
"seesaw,සීසෝව "
"seethe,කැකෑරෙනවා "
"segment,කොටස "
"segmental,ඡේදාත්මක"
"segmentation,ඛණ්ඩ කිරීම "
"segments,ඛණ්ඩ"
"segregate,තනි කොට තබනවා "
"segregated,වියුක්ත"
"segregation,කණ්ඩායම්වලට බෙදීම "
"seigneur,රදලයා "
"seignior,රදලයා "
"seigniorage,ස්වාමි පුරස්කාරය"
"seine,මාදැල "
"seisin,නියත් බව "
"seismic,භූමි කම්පා පිළිබඳ වූ "
"seismogram,භූ-චලන ප්‍රස්ථාරය "
"seismograph,භූ-කම්පන ප්‍රස්තාරය "
"seismography,භූමිකම්පා ශාස්ත්‍රය "
"seismology,භූ-කම්පන විද්‍යාව "
"seismometer,භූ-කම්පනමානය"
"seize,අත් කර ගන්නවා "
"seizing,පරාමර්ශනය "
"seizure,අල්වා ගැනීම "
"seldom,ඉඳහිට "
"select,තේරෙනවා "
"selecting,වරණය කිරීම"
"selection,තේරීම "
"selections,තේරීම් "
"selective,තේරිය හැකි "
"selectivity,වරණ ශක්මතාව "
"selector,තෝරනය "
"selenite,සෙලිනයිට් "
"selenium,අලෝහමය මූලද්‍රව්‍යයක් "
"self-acting,ඉබේ ක්‍රියා කරන "
"self-actualization,ස්වාත්ම ඵලසාධන"
"self-addressed,තම ලිපිනය ලියූ"
"self-appointed,තමා ම පත් කර ගත්"
"self-assertion,ආත්මාධිරෝපණය "
"self-assured,ස්වයං විශ්වාසයක් ඇති"
"self-centered,තමන්ට අවශ්‍ය ආහාර සපයා ගන්නා "
"self-centred,ආත්ම කේන්ද්‍රීය "
"self-collected,නිරාකුල "
"self-command,ආත්ම දමනය "
"self-communion,භාවනාව "
"self-conceit,අහංකාරය"
"self-confident,ආත්ම ශක්තිය ඇති "
"self-consciousness,ආත්ම සංඥතාව "
"self-consistency,ආත්ම සංස්ථිතිය"
"self-contained,අවශ්‍ය සියලු දේ ඇති "
"self-contradicting,පරස්පර විරෝධී"
"self-contradictory,ස්වයං විරොධී"
"self-control,ආත්ම දමනය "
"self-criticism,ආත්ම විවේචනය"
"self-deception,ආත්ම වංචනය"
"self-defence,ආත්මාරක්ෂාව "
"self-denial,ආත්ම පරිත්‍යාගය "
"self-determination,ආත්ම නිර්ණයනය "
"self-development,තමන් ම ඇති කර ගත් දියුණුව "
"self-drive,ස්වයං පුහුණුව "
"self-educated,ස්වෝත්සාහයෙන් උගත්"
"self-education,ස්වයං අද්‍යයනය "
"self-effacing,නිරහංකාර "
"self-effort,ස්වෝත්සාහය"
"self-employed,ස්වයං රැකියාවක නියුතු"
"self-enjoyment,ස්වානුභූතිය"
"self-esteem,අත්තුක්කංසනය "
"self-evident,ඉබේම ඔප්පු වන "
"self-examination,ආත්ම පරීක්ෂණය "
"self-excitation,ස්වයං උද්දීපනය"
"self-existence,ස්වයංභූභාවය"
"self-explanatory,පැහැදිළි කිරීමක් අනවශ්‍ය "
"self-expression,ස්වයං ප්‍රකාශනය "
"self-fulfillment,ස්වාභිමතාර්ථ ඉටුවීම "
"self-governing,ස්වාධීන "
"self-government,ස්වරාජ්‍යය"
"self-help,ආත්මෝපකාරය "
"self-image,ආත්ම ප්‍රතිබිම්බය "
"self-importance,ලෝක මාන්නය"
"self-imposed,තමා ම පනවා ගත්"
"self-incompatibility,සියත් නොගැළැපුම"
"self-induced,ස්වයං ප්‍රේරිත "
"self-inductance,ස්වයං ප්‍රේරණ සංගුණකය"
"self-induction,ස්වයං ප්‍රේරණය"
"self-indulgence,සැප විතයෙහි ඇල්ම"
"self-indulgent,සැපයෙහි ගැලුන "
"self-interest,ආත්මාර්ථය "
"self-knowledge,ආත්ම ඥානය"
"self-love,ආත්මලෝලතාව "
"self-mastery,ආත්ම දමනය "
"self-mortification,උග්‍ර තපස"
"self-motion,ආත්ම චලනය"
"self-murder,ආත්ම ඝාතය"
"self-opinionated,මුරණ්ඩු "
"self-pity,ආත්මානුකම්පාව "
"self-pollinated,ස්වපරාගිත"
"self-portrait,තමන් විසින් අඳින ලද තමන්ගේ චිත්‍රය "
"self-possessed,ශාන්ත "
"self-possession,ශාන්තභාවය"
"self-preservation,ආත්මාරක්ෂාව"
"self-propelled,ස්වබලයෙන් ක්‍රියාකරන "
"self-purification,ස්වයං පරිශෝධනය"
"self-regard,ආත්ම සම්භාවනාව "
"self-regarding,ආත්මාපේක්ෂ"
"self-reproach,තමන්ට ම දොස් කියා ගැනීම"
"self-respect,ආත්ම ගෞරවය"
"self-righteous,තමාගේ යහපත්කම ගැන නුවුවමනා සේ පාන "
"self-sacrifice,ආත්ම පරිත්‍යාගය "
"self-satisfied,අහංකාර"
"self-sealing,ස්වයංක්‍රීයව වැසී යන"
"self-seeking,ආත්මාර්ථයම සොයන"
"self-sufficiency,ස්වකීය සියලු වුවමනා පිරිමසාගත හැකි බව"
"self-sufficient,අනුන්ගේ උදවු අනවශ්‍ය "
"self-supporting,තමාට ම නඩත්තු වියහැකි "
"self-taught,තමා විසින්ම ඉගෙන ගත්"
"self-weight,ස්වයං භරණ"
"self-willed,හිතුවක්කාර "
"self,ආත්මය "
"selfhood,ස්වාත්මය"
"selfish,අකෘතඥ "
"selfishness,ආත්මාර්ථකාමය "
"selfless,පරාර්ථකාමී "
"sell,මිලට දෙනවා "
"seller,විකුණන්නා "
"selvage,අටවරල"
"selvedge,කන් වාටිය"
"semantical,අර්ථ විචාරය "
"semantics,අර්ථ විචාරය හා සම්බන්ධ"
"semblance,සම්භාසය "
"semeiotics,ලක්ෂණ මී මංසාව"
"semen,රේතස් "
"semi-abstract,අර්ධ අමූර්ත"
"semi-axis,අර්ධාක්ෂය"
"semi-circle,අඩ කවය "
"semi-classical,අර්ධ පෞරාණික"
"semi-desert,අර්ධ කාන්තාරය"
"semi-detached,එක පැත්තකින් පමණක් තව ගෙයකට යාව තනන ලද"
"semi-empirical,අර්ධ ආනුභාවික"
"semi-final,අර්ධ අවසන් පූර්ව තරගය "
"semi-normal,අර්ධසමක"
"semi-official,අනියම් වශයෙන් ආණ්ඩුවට සම්බන්ධ වූ"
"semi-range,අර්ධ පරාසය"
"semi-steel,අර්ධ වානේ"
"semi-vowel,අර්ධ ස්වරය"
"semi,අඩ "
"semiabstract,අර්ධ අමූර්ත"
"semicircle,අර්ධවෘත්තය "
"semicircular,අඩකවාකාර"
"semicolon,තිත් කොමාව"
"semiconductor,අර්ධ සන්නායකය"
"seminal,උත්පා֯ක "
"seminar,වැඩමුළුව "
"seminary,පූජක විද්‍යාලය "
"semiology,ලක්ෂණ මීමංසාව"
"semiotics,ලක්ෂණ මීමංසාව"
"semipermeable,අර්ධ පාරගම්‍ය"
"semitone,අර්ධ තානය"
"semolina,ධාන්‍යවල පිටි ඉවත් කළ විය ඉතිරි වන දේ "
"sempiternal,සදාතන "
"sempiternity,සනන්තනතාව"
"sempstress,මහන්නී"
"senate,උත්තර මන්ත්‍රී මණ්ඩලය "
"senator,උත්තර මන්ත්‍රී "
"send-off,සුබ පැතීම පිණිස පවත්වනු ලබන උත්සවය "
"send,එවනවා "
"sender,යවන්නා "
"sending,යැවීම"
"senescence,ජරාවට පත්වීම "
"senescent,මහලු "
"senile,ජරාවට ගිය "
"senility,ජරාව "
"senior,ජ්‍යෙෂ්ඨ "
"seniority,ජ්‍යෙෂ්ඨතාව "
"senna,සෙනෙහෙ කොළ"
"senor,ස්පාඤ්ඤයේ ප්‍රභූනාම"
"senora,ස්පාඤ්ඤයේ ප්‍රභූනාම"
"senorita,ස්පාඤ්ඤයේ ප්‍රභූනාම"
"sensation,උද්වේගය "
"sensational,උද්වේගකාරී "
"sensationalism,උද්වේගය "
"sense,ඉන්ද්‍රිය හැඟීම "
"senselessness,සිහිනුවණ නැතිකම "
"sensibility,දැනීමේ ශක්තිය "
"sensible,ඉන්ද්‍රිය මඟින් දැන ගත හැකි "
"sensibly,දැනෙන තරමට "
"sensing,ගෝචර ග්‍රහණය "
"sensitisation,සංවේදීකරණය"
"sensitised,සංවේදීකෘත"
"sensitive,ඉක්මනින් කිපෙන "
"sensitiveness,සංවේදීතාව"
"sensitiveness,සංවේදීතාව"
"sensitivity,සංවේදනීයතාව"
"sensitivity,සංවේදනීයතාව "
"sensitization,සංවේදීකරණය"
"sensitize,සංවේදී කරනවා"
"sensitized,සංවේදීකෘත"
"sensitizer,සංවේදීකාරකය"
"sensitometer,සංවේදිතාමානය"
"sensor,උත්තේජකයක වෙනස් වීම මනින උපකරණය "
"sensorial,ඉන්ද්‍රිය සම්බන්ධී"
"sensory,ඉන්ද්‍රිය සංවේදී "
"sensual,ඉන්ද්‍රිය විෂයක "
"sensuality,ඉදුරන් පිනවීම "
"sensuous,අනුරාගී "
"sent,යැව්වා "
"sentence,වගන්තිය "
"sentential,වාක්‍යයට සම්බන්ධ"
"sentience,සංවේදනතාව "
"sentient,සචේතන "
"sentiment,අභිප්‍රාය "
"sentimental,හැඟීම්බර "
"sentimentalism,භාවානුගතිකත්වය "
"sentinel,මුර අක්ෂරය "
"sentry,රැකාවලා "
"sep,පා ගැටය"
"sepal,මණිපත්‍රය "
"separable,අන්‍ය "
"separate,ඈත් මෑත් කරනවා "
"separately,කඩින් කඩ "
"separation,ප්‍රිය විප්‍රයෝගය "
"separatism,විසන්ධිවාදය "
"separatist,බෙදුම්වාදියා "
"separative,විභේදක"
"separator,වෙන්කරණය "
"sepia,තද රත් දුඹුරු පැහැය "
"sepoys,යුරෝපීය ආණ්ඩුවට සේවය කරන ඉන්දිය භටයා "
"sepsis,කුණුවීම "
"sept,ගෝත්‍රය"
"septate,සාවාර"
"septennial,සත් වසරක් පවත්නා"
"septet,සත් දෙනකුගෙන් යුත් කණ්ඩායම"
"septic,පැසවූ "
"septicaemia,පූතිරක්තතාව "
"septuagenarian,වයස හැත්තෑවත් හැත්තෑ නවයත් අතර පුද්ගලයා"
"septum,ආවාරය "
"septuplet,සත් නිවුන් දරු"
"sepulchral,අවමංගල "
"sepulchre,සොහොන "
"sepulture,මිහිදන් කිරීම"
"sequel,ප්‍රතිඵලය "
"sequence,අනුක්‍රමය "
"sequent,ඵල විපාක වශයෙන් වන "
"sequential,අනුක්‍රමික"
"sequester,වෙන් කරනවා "
"sequestered,හුදකලා වූ "
"sequestrate,තහනමට ගන්නවා "
"sequestration,ජන වර්ග වෙන්කර තැබීම "
"sequoia,කැලිෆෝනියාවේ ඇති උස් කේතුධර ගස් වර්ගයක්"
"seraglio,අන්තඃපුරය "
"serape,ස්පාඤ්ඤ ඇමෙරිකානුවන් ලෝගුවක් සේ ඇඳි කම්බිලිය"
"seraph,නව විධ දේවදූතයන්ගේ ඉහළ ම දේවදූත පැලැන්තියේ දේවදූතයෙක්"
"seraphic,දේවදූතයකු වැනි "
"sere,පිච්චෙනවා "
"serenade,පෙමින් පසුවන්නකු පෙම්වතියට ඇසෙන සේ රැයෙහි ගයන ගීතය හෝ වයන වාදනය "
"serendipity,අහම්බෙන් අනපේක්ෂිත හා තෘප්තජනක සොයා ගැනීම් සඳහා වූ හැකියාව"
"serene,නිසල "
"serenity,ශාන්ත භාවය "
"serf,දාසයා "
"serfdom,දාසභාවය"
"serge,වූල් රෙදි වර්ගයක්"
"sergeant,සැරයන්"
"serial,අනුක්‍රමිකව පළවෙන "
"serialize,කොටස් වශයෙන් පළ කරනවා "
"seriate,අනුක්‍රමානුකූල "
"seriatim,එකින් එක "
"sericulture,පටපණු වගාව "
"series-parallel,සමාන්තර ශ්‍රේණිය"
"series-wound,මෝටරයකට හෝ ඩයිනමෝවකට සම්බන්ධ "
"series,මාලාව "
"serif,අකුර යොදන ලද හැඩ ඉරි"
"serigraphy,වර්ණ මුද්‍රණ ක්‍රමයක්"
"serine,බොහෝ ප්‍රෝටීන් වර්ගවල අඩංගු ඇමයිනෝ අම්ල විශේෂයක් "
"seriocomic,බරපතල සහ හාස්‍යජනක යන දෙක ම අඩංගු"
"serious,බරපතල "
"seriously,බරපතල ලෙස"
"seriousness,බරපතලකම"
"sermon,දේශනාව "
"sermonize,දේශනා කරනවා "
"sermonizer,දේශනා කරන්නා"
"serology,මස්තු විද්‍යාව "
"serous,මස්තු හා සම්බන්ධ හෝ මස්තු අඩංගු හෝ නිපදවන"
"serpent,සර්පයා "
"serpentine,සර්පයකු වැනි "
"serpiginous,සර්පයකු වැනි "
"serrate,දැති ආකාර දාර සාදනවා"
"serrated,දැති සහිත "
"serried,එකට තදව බැඳුණු "
"serum,මස්තු "
"servant,සේවකයා "
"serve,සේවය කරනවා "
"server,සේවයක් කරන්නා "
"service,දේව මෙහෙය "
"serviceable,ප්‍රයෝජනවත් "
"serviceableness,ප්‍රයෝජනවත්බව"
"serviceman,හමුදා සේවයේ යෙදෙන්නා "
"services,සේවා"
"servicing,සේවා සැපයීම "
"serviette,අත පිස්නය"
"servile,ගැති "
"servility,දාසභාවය"
"serving,කෙනෙකුට බෙදූ ආහාර ප්‍රමාණය"
"servitor,මෙහෙකරුවා "
"servitude,වහල්කම "
"servomechanism,යන්ත්‍රයක ස්වයංක්‍රීය පාලනය සෙවීමට සැකසූ ප්‍රතිචාර පද්ධතියක් "
"servomechanism,සේවා යන්ත්‍රණය"
"servomotor,සේවා මෝටරය"
"sesame,තල"
"sessile,නටුවක් රහිතව පාදකයට සම්බන්ධ වූ "
"session,වාරය "
"sestet,හය දෙනෙකුගෙන් යුත් ගායන හෝ වාදන කණ්ඩායම "
"set aside,පසෙකට තැබීම "
"set down,ලියා තබනවා "
"set off,ගමනක් අරඹනවා "
"set square,විහිත චතුරශ්‍රය"
"set to,උද්‍යෝගයෙන් යමක යෙදෙනවා"
"set up,සංවිධානය "
"set-aside,පසෙක තැබීම"
"set,තබනවා "
"seta,දැඩිකෙන්ද"
"setaceous,දැඩි කෙඳි වැනි"
"setscrew,සිටවුම් ස්කුරුප්පුව"
"sett,මුගටි වර්ගයට අයත් නිශාචර සිව්පාවකුගේ වාසස්ථානය වන උමං මාර්ග ජාලය"
"settee,සෙටිය "
"setter,සකසන්නා "
"setting,පසුබිම "
"settle,පදිංචි වෙනවා "
"settled,පදිංචි වූ "
"settlement,ජනාවාස කිරීම "
"settler,අලුත් රටක හෝ අලුත් තැනක පදිංචිකාරුවා"
"settling,පදිංචි වීම "
"seven,හත "
"sevenfold,හත්වරක්"
"seventeen,දහහත"
"seventh,හත්වැනි"
"seventy,හැත්තෑව"
"sever,ගිවිසුමක් අවසන් කරනවා "
"severable,වෙන් කළ හැකි"
"several,වෙන්වූ "
"severally,වෙන වෙනම"
"severance,වෙන් කිරීම "
"severe,උග්‍ර "
"severely,සැරෙන් "
"severing,වෙන් කරන"
"severity,දරුණුකම "
"sew,මහනවා "
"sewage,අපද්‍රව්‍ය"
"sewer,ජලාපවාහනය සඳහා වූ කාණුව"
"sewerage,ජලාපවාහන පද්ධතිය"
"sewing machine,මහන මැෂිම"
"sewing,මැහුම "
"sewn,මහන ලද"
"sex,සෙක්ස්"
"sexagenarian,හැට සහ හැට නවය අතර වයස් ඇත්තා"
"sexism,ස්ත්‍රී පුරුෂ භාවය නිසා වෙනස්කම් කිරීම"
"sexless,අලිංගික"
"sexology,මානව ලිංගික ජීවිත අධ්‍යයනය"
"sexpartite,හයට බෙදුණු"
"sextant,සෙක්ස් තන්තුව "
"sextet,හය කට්ටුව "
"sexton,පල්ලි භූමිය බලා ගන්නා සහ සොහොන් පල්ලකු සේ කටයුතු කරන්නා"
"sextuple,කොටස් හයක් ඇති "
"sextuplet,නිවුන් දරු හය දෙනාගෙන් කෙනෙක්"
"sexual-union,කාම සේවනය"
"sexual,ලිංගික "
"sexuality,ලිංගිකත්වය"
"sexy,ලිංගික ආකර්ෂණය ඇති"
"shabbiness,අබලන්බව"
"shabby,අබලන් "
"shack,මඩුව "
"shackle,විලංගුව "
"shackler,විලංගු දමන්නා"
"shad,මත්ස්‍ය වර්ගයක්"
"shaddock,ජම්බෝල "
"shade-leaf,සෙවන් පත්‍රය"
"shade,පැහැය "
"shading,පාට කිරීමෙන් අඳුරු කිරීම"
"shadow-graph,තිරයක් මත සෙවණැල්ලක් පතිත කිරීමෙන් ප්‍රතිබිම්බයක් නිපදවීම "
"shadow-play,තිරයක් මත සෙවණැල්ල වැටෙන්නට සැලසීමෙන් කරන කතන්දර කීම"
"shadow-price,පවතින සීමිත සම්පතක් සඳහා කළමනාකරණය ගෙවීමට එකඟවන උපරිම මිල"
"shadow,සෙවණැල්ල "
"shadowy,සෙවණැලි සහිත "
"shady,සෙවණ ඇති "
"shaft,හීය "
"shafting,භ්‍රමණය වීමෙන් ශක්තිය නිපදවන සිලින්ඩරාකාර යාන්ත්‍ර කොටසක්"
"shag,දළ කෙස් වැටිය "
"shaggy,කෙස් සහිත "
"shah,ඉරානයේ හිටපු රජුගේ පදවි නාමය"
"sharmi,ශර්මි"
"shake,සොලවනවා "
"shaken,චලිත "
"shaker,යමක් දමා සෙලවීම පිණිස භාවිත කරන භාජනය "
"shakiness,සෙලවෙන ගතිය"
"shaking,සෙලවෙන"
"shakings,නැව් තට්ටුවෙන් ඉවත ලන අපද්‍රව්‍ය"
"shako,සිලින්ඩරාකාර හමුදා තොප්පියක්"
"shaky,වෙව්ලන "
"shale,පොතු ගල "
"shall,අනාගතය දක්වන ආධාරක ක්‍රියා රූපය "
"shallot,ලූනු වැනි ශාකයක්"
"shallow-brained,බුද්ධිහීන"
"shallow,නොගැඹුරු "
"shallowness,නොගැඹුරුකම"
"shalom,යුදෙව් ආචාරය"
"sham,රැවටිලි කරනවා "
"shaman,යකැදුරා "
"shamanism,උතුරුදිග ආසියාවේ පවතින ආත්මවාදී ආගමක්"
"shamble,කම්මැලි සහ අපහසු ලෙස ඇවිදිනවා"
"shambles,අවුල "
"shambling,කම්මැලි සහ අපහසු ලෙස ඇවිදීම"
"shame-faced,ලජ්ජා දනවන "
"shame,ලජ්ජාව "
"shameful,ලජ්ජා සහගත "
"shameless,ලජ්ජා නැති"
"shamming,ලජ්ජා වන"
"shampoo,හිස සේදීම "
"shamrock,අයර්ලන්තයේ ජාතික සංකේතය "
"shandy,මත්පැන් මුසුව"
"shanghai,නැවක සේවයට බලෙන් යොදවනවා "
"shank,කකුල "
"shantung,චීන සේද රෙදි"
"shantung,සිනිඳු චීන සිල්ක් රෙදි වර්ගයක්"
"shanty,පැල "
"shape,හැඩය "
"shapeless,හැඩයක් නැති "
"shapely,මනාව හැඩ ගැසුණු "
"shaper,පැතලි මතුපිටක් තැනීමට භාවිත කරන උපකරණයක් "
"shaping,හැඩ ගැන්වීම"
"shard,වීදුරු වළං ආදියේ කැබිලිත්ත "
"share holder,කොටස්කරු"
"share,කොටස "
"shareholder,කොටස්කරු"
"shares,කොටස්"
"shark-skin,මෝර හම "
"shark,මෝරා "
"sharp shooter,දක්ෂ වෙඩික්කාරයා"
"sharp sighted,දුර පෙනෙන "
"sharp-tongued,කර්කෂ කතාවෙන් යුතු"
"sharp-witted,විනිවිද දකින "
"sharp,තියුණු "
"sharpen,උල් කරනවා "
"sharpener,මුවහත් කරන උපකරණය"
"sharpening,මුවහත් කිරීම"
"sharper,හොරා"
"sharply,තියුණු ලෙස"
"sharpness,තියුණු බව"
"shatter,විනාශ කරනවා "
"shattering,විනාශ වීම"
"shave,රැවුල බානවා "
"shaven,මුඩු කළ"
"shaver,කෙහෙ ගාන්නා "
"shaving,යතු කුඩු "
"shavings,ඉතා තුනී සහ කුඩා‍ ලී කොටස්"
"shawl,සළුව "
"she-devil,නපුරුබවට සැලකෙන කාන්තාව"
"she,ඇය "
"sheaf,ගොන්න "
"shear legs,විශාල බර එසවීමට භාවිත කරන තාවකාලික උපාංගයක්"
"shear,බැටළුවන්ගේ ලොම් කපනවා "
"shearing,කපා ඉවත් කිරීම"
"shears,විශාල බරක් එසවීමට භාවිත කරන උපකරණයක්"
"sheath,කොපුව "
"sheathe,කොපුවෙහි ලනවා "
"sheathing,ආරක්ෂක කොපුව "
"sheave,කප්පි රෝදය"
"shed,මඩුව "
"shedding,හැව ඇරීම "
"sheen,දිස්නය"
"sheeny,දිස්න දෙන"
"sheep skin,බැටළු හම "
"sheep,බැටළුවා "
"sheepfold,බැටළු ගාල"
"sheepish,ලජ්ජා සහගත "
"sheepshank,කඹය කොට කිරීමට යොදන ගැටයක්"
"sheer,හුදු "
"sheers,විශාල බරක් එසවීමට භාවිත කරන උපකරණයක්"
"sheet anchor,දෙවන නැංගූරම "
"sheet,ඇතිරිල්ල "
"sheeting,ඇඳ ඇතිරිලි සඳහා යොදා ගන්නා රෙදි"
"sheets,තුනී තහඩු "
"sheik,අරාබි ගෝත්‍රයක හෝ ගමක හෝ පවුලක නායකයා "
"shekel,ඊශ්‍රාලයේ ප්‍රධාන මුදල් ඒකකය"
"shekels,මුදල් "
"shelf,රාක්කය "
"shell lime,බෙලිකටු ආදිය පිළිස්සීමෙන් සාදන හුණු"
"shell-shock,තමා සමීපයෙහි වෙඩි පිපිරීමෙන් ඇති වන සිහිවිකල ගතිය"
"shell,කටුව "
"shellac,වාර්නිෂ් තැනීමට ගන්නා ලාකඩ විශේෂයක්"
"shelled,පිටකටුවක් ඇති"
"shellfish,පිටකටුවක් සහිත මුහුදු ජීවියෙක්"
"shells,රාක්ක "
"shelter,රැකවරණය "
"sheltering,ආවරණය සැපයීම"
"shelve,පොත් රාක්කයේ තබනවා "
"shelves,රාක්ක "
"shelving,බෑවුම "
"shepherd,එඬේරා "
"shepherdess,බැටළුවන් බලාගන්නිය"
"sherbet,සරුවත්"
"sheriff,කෝරළයක් හෝ ප්‍රාන්තයක ප්‍රධාන විධායක නිලධාරියා"
"sherry,වයින් වර්ගයක්"
"shibboleth,කිසියම් කණ්ඩායමකට සුවිශේෂ වූ "
"shield,පළිහ "
"shielded,ආරක්ෂා කළ "
"shielding,ආරක්ෂා කිරීම "
"shift work,වැඩ මුර අනුව කරන වැඩ"
"shift,තැනකින් තැනකට වෙනස් කරනවා "
"shifter,මාරුකරන්නා"
"shiftiness,කපටිකම"
"shiftless,අලස"
"shifty,කපටි "
"shilling,සිලිම"
"shilly-shally,අවිනිශ්චිතභාවය "
"shim,හිඩැසක් පිරවීමට ගන්නා තුනී පතුරක්"
"shimmer,දිලිසෙනවා"
"shimmy,වෙව්ලනවා "
"shin,දණහිසෙන් පහළ කකු‍ලේ ඉදිරිපස "
"shinbone,දණ හිසේ සිට විලුඹ දක්වා දිවෙන අස්ථි දෙකෙන් එකක්"
"shindig,උත්සව ‍ඝෝෂය"
"shine,දිලිසෙනවා "
"shingle,මුහුදු වැළි කැට අෂ්ටිල "
"shingles,ස්නායු ගැංග්ලියාවේ ඉදිමුම ඇති කරන වයිරස රෝගය"
"shingling,කුඩා ද්‍රව්‍යවලින් වහළ සෙවිලි කිරීම "
"shining,දිළිසෙන"
"shiny,දිලිසෙන"
"ship breaking,නැව්වල කොටස් ප්‍රතිචක්‍රීකරණය"
"ship canal,නැව් ගමනාගමනයට කැපූ ඇළ"
"ship chandler,නැව්වලට අවශ්‍ය උපකරණ සපයන්නා"
"ship load,ප්‍රවාහන බඩු තොගය"
"ship master,නැව් කප්පිත්තා"
"ship shape,මනා සේ සකස් වූ"
"ship-money,නැව් බද්ද"
"ship-owner,නැව් හිමියා"
"ship,නැව "
"shipbroker,නැව් හිමියන් සහ නැව් භාවිත කරන්නන් අතර අතරමැදියකු සේ කටයුතු කරන්නා"
"shipbuilder,නැව් සාදන්නා"
"shipbuilding,නැව් තැනීම"
"shipment,නැවෙන් යවන බඩු ප්‍රමාණය "
"shipper,නැවෙන් බඩු යවන්නා හෝ එවන්නා"
"shipping,නැව් ප්‍රවාහන සේවය"
"shipwreck,නැව විනාශ වීම "
"shipwright,නැව් වඩුවා"
"shipyard,නැව් තටාකය"
"shire,බ්‍රිතාන්‍යයේ කවුන්Ǡגය "
"shirk,වැඩ අතපසු කරනවා "
"shirker,වැඩ පැහැර හරන්නා"
"shirt,කමිසය"
"shirting,කමිස රෙදි"
"shish kebab,ගින්නෙන් පැලහූ මස් හා එළවළු ඇතුළත් මසවුලක්"
"shit,මල පහකරනවා "
"shiver,වෙව්ලනවා "
"shivering,වෙව්ලීම"
"shivery,බි‍ඳෙන සුලු "
"shoal,විශාල පිරිස "
"shoals,සැඟවුණු අන්තරාය "
"shock absorber,කම්පන පරිවාරකය"
"shock proof,කම්පනයට ඔරොත්තු දෙන"
"shock stall,ශබ්දයේ වේගයට ළඟා වීමේ දී ගුවන් යානයක් වාතය හා ගැටීමෙන් වන කම්පනය"
"shock tactics,හදිසි ප්‍රචණ්ඩ ක්‍රියාමාර්ගය"
"shock therapy,කම්පන චිකිත්සාව"
"shock troops,හදිසි ප්‍රහාරයට විශේෂ පුහුණුව ලත් භට හමුදාව"
"shock,තදින් එකට ගැටුම "
"shocker,කම්පනය කරන "
"shocking,කම්පාකරන "
"shod,පාවහන් ඇති"
"shoddy,බාල "
"shoe maker,සපතේරුවා"
"shoe,සපත්තුව "
"shoeblack,මගීන්ගේ සපත්තු කුලියට පොලිෂ් කරන්නා"
"shoehorn,සපත්තුව පහසුවෙන් දැමීමට යොදන නැමි තහඩුවක්"
"shoelace,සපත්තු බඳින පටිය"
"shoestring,සපත්තු බඳින පටිය "
"shoo,ළමයින් බිය වැද්දීමට කරන ආලාපයක්"
